date,gics_sector,avg_daily_return,cumulative_return
2025-01-02,,0.013798349272426978,0.013798349272426978
2025-01-02,Communication Services,-0.0028966564148780894,-0.0028966564148780894
2025-01-02,Consumer Discretionary,-0.010828344512940687,-0.010828344512940687
2025-01-02,Consumer Staples,-0.0059360315894525619,-0.0059360315894525619
2025-01-02,Energy,0.00551682796228896,0.00551682796228896
2025-01-02,Financials,-0.0065660992816846233,-0.0065660992816846233
2025-01-02,Health Care,-0.00902478417113395,-0.00902478417113395
2025-01-02,Industrials,-0.012512707970188013,-0.012512707970188013
2025-01-02,Information Technology,-0.0094697028160300664,-0.0094697028160300664
2025-01-02,Materials,-0.01528251310186118,-0.01528251310186118
2025-01-02,Real Estate,-0.01091648246236432,-0.01091648246236432
2025-01-02,Utilities,-0.0037502435675445026,-0.0037502435675445026
2025-01-03,,0.026810195104549503,0.040608544376976481
2025-01-03,Communication Services,0.0016136320907021435,-0.0012830243241759459
2025-01-03,Consumer Discretionary,0.0012431984130351376,-0.0095851460999055484
2025-01-03,Consumer Staples,-0.0038894203742876922,-0.0098254519637402549
2025-01-03,Energy,0.0039629491640348034,0.0094797771263237639
2025-01-03,Financials,0.0042260007655838747,-0.0023400985161007486
2025-01-03,Health Care,0.0094588973372384862,0.00043411316610453624
2025-01-03,Industrials,0.0094893674799936354,-0.0030233404901943775
2025-01-03,Information Technology,0.012022310091152363,0.0025526072751222966
2025-01-03,Materials,-0.00014006160475936086,-0.015422574706620541
2025-01-03,Real Estate,0.012009198504973407,0.0010927160426090869
2025-01-03,Utilities,0.0041093378747748474,0.0003590943072303448
2025-01-06,,-0.010868907257920883,0.029739637119055598
2025-01-06,Communication Services,0.0013138553815371962,3.0831057361250342e-05
2025-01-06,Consumer Discretionary,-0.0035005365195150372,-0.013085682619420586
2025-01-06,Consumer Staples,-0.010919051937452117,-0.020744503901192372
2025-01-06,Energy,-0.0086037159953108212,0.00087606113101294184
2025-01-06,Financials,-0.0075138395787533521,-0.0098539380948541016
2025-01-06,Health Care,0.0041451652935243864,0.0045792784596289226
2025-01-06,Industrials,-0.005573889755884168,-0.0085972302460785455
2025-01-06,Information Technology,0.002392490783114808,0.0049450980582371046
2025-01-06,Materials,0.0014107730111004298,-0.014011801695520111
2025-01-06,Real Estate,-0.016914265137206071,-0.015821549094596984
